timestamp,total_memory,java_heap,native_heap,code,stack,graphics
1709828687,1072498,99016,504420,88108,2756,359064
1709828719,1065046,89304,496636,88108,2708,369160
1709828752,1050762,88280,497484,88108,2688,355080
1709828784,1049922,88148,496904,88108,2688,354952
1709828816,1052330,90672,496680,88108,2664,355080
1709828849,1050314,88480,496952,88108,2688,354960
1709828881,1052938,89116,498084,88108,2688,355820
1709828913,1052474,88808,497952,88108,2664,355820
1709828945,1057042,90152,501172,88108,2664,355824
1709828978,1131821,108168,527264,88092,2768,386376
1709829010,1103329,95072,511832,88092,2708,386504
1709829042,1097201,92472,512460,88092,2664,382412
1709829074,1080745,92556,512436,88092,2664,365900
1709829106,1097741,93176,512296,88092,2664,382412
1709829138,1077869,92256,509836,88092,2688,365896
1709829170,1078149,92008,510192,88092,2688,366024
1709829203,1079317,92704,510784,88092,2664,365928
1709829235,1081412,95000,510452,88092,2664,366056
1709829267,1082312,93908,512444,88092,2664,366056
1709829299,1098120,93720,512060,88092,2664,382440
1709829331,1080608,92860,511920,88092,2664,365928
1709829363,1082434,93152,511972,88092,2664,367404
1709829396,1083170,94012,511848,88092,2664,367404
1709829428,1083442,93780,512352,88092,2664,367404
1709829460,1083594,93784,512604,88092,2688,367276
1709829492,1087934,96944,513780,88092,2688,367276
1709829524,1086417,94292,514940,88092,2664,367276
1709829556,1087665,93824,514480,88092,2664,369456
1709829588,1087389,94160,515784,88092,2664,367540
1709829620,1107313,94824,517120,88092,2664,385460
1709829653,1111513,96136,517952,88092,2664,387516
1709829685,1093173,96380,517676,88092,2664,369208
1709829717,1125437,107620,526384,88092,2768,381452
1709829749,1126753,100988,515944,88092,2732,399884
1709829781,1104297,98624,516396,88092,2688,379388
1709829813,1124213,106804,533752,88092,2768,373592
1709829846,1107929,103360,524992,88092,2708,369612
1709829878,1106125,99584,525084,88108,2664,371528
1709829910,1123021,99284,525480,88108,2688,388308
1709829942,1122991,108620,534088,88072,2780,370256
1709829975,1110795,103752,526524,88072,2708,370568
1709830007,1185127,119116,557808,88072,2756,398140
1709830039,1171515,114324,553884,88072,2780,393216
1709830071,1143555,104176,544508,88072,2732,384860
1709830103,1143951,104648,544400,88072,2664,384992
1709830136,1143743,103604,545236,88072,2664,384992
1709830168,1179363,119372,572316,88080,2756,377640
1709830200,1144099,107400,557384,88080,2732,369288
1709830232,1140559,104772,556556,88080,2688,369284
1709830264,1177759,114020,567924,88080,2732,385800
1709830297,1174091,117856,576496,88020,2756,369760
1709830329,1159487,109688,569956,87960,2708,369956
1709830361,1159743,110176,569932,87960,2664,369824
1709830393,1158967,108564,570636,87960,2664,369956
1709830425,1214891,128848,600964,87940,2768,375236
1709830458,1195947,115336,589396,87940,2708,381384
1709830490,1183323,110408,588916,87940,2664,374224
